Price,Lotsize(m2),Livingspacesize(m2),Buildyear
525000,251,135,1972
425000,181,109,1935
575000,198,138,1986
259500,231,92,1989
1050000,423,210,2000
445000,127,126,2016
425000,170,87,1984
825000,413,232,1974
249500,235,124,1920
550000,137,111,1992
859000,5440,300,2017
389000,290,108,1973
349000,281,80,
399000,219,129,1976
495000,371,141,1988
560000,2510,129,1967
425000,560,99,1965
415000,191,131,1974
310000,82,80,2012
525000,280,131,1990
289000,333,89,1963
385000,140,119,2017
325000,134,106,2009
485000,130,126,2008
335000,135,91,2009
315000,153,135,1971
675000,1146,233,1976
275000,153,90,1984
595000,238,124,1953
389000,109,127,1920
450000,143,132,1978
275000,158,98,1988
540000,240,154,1994
525000,192,139,1987
389000,126,116,1985
275000,165,132,1968
325000,144,80,1996
825000,1427,304,2012
359000,283,139,1952
165000,153,95,1981
375000,6167,128,2022
450000,236,142,1999
615000,178,191,2001
420000,134,118,2018
425000,305,116,1967
300000,129,90,2005
650000,233,244,1989
289000,226,99,1960
299000,119,94,1925
385000,127,123,1980
425000,1860,125,1965
267500,140,119,1979
315000,200,110,1981
545000,258,117,2020
945000,228,171,1998
325000,268,122,1976
462500,414,139,1970
425000,1037,152,1949
395000,1275,135,1926
249000,178,118,1981
599000,234,121,1995
425000,597,92,1952
399000,219,72,1915
979000,1754,284,1988
325000,179,127,1968
1250000,830,316,1890
479000,3845,180,1925
375000,171,84,1920
275000,152,76,1986
845000,570,154,1966
315000,139,178,
350000,145,118,1968
750000,364,128,1989
739000,1127,163,1962
550000,345,137,1934
369000,365,142,1974
355000,128,93,2010
399000,335,143,1934
850000,1450,162,1964
427500,156,137,1972
239500,173,94,1933
649000,211,144,2017
579000,527,137,1997
415000,792,159,1915
285000,164,138,1980
390000,270,132,1982
650000,287,162,2018
749000,1793,200,2004
419000,101,132,1997
599000,129,140,1941
485000,915,243,1970
689000,288,154,1989
530000,511,210,1979
539000,133,125,2018
429900,165,132,1991
285000,140,110,1981
600000,530,189,1972
495000,187,119,
800000,1233,255,1974
419000,288,109,1990
425000,205,163,1965
649000,181,183,2005
395000,145,115,2016
1175000,497,218,1995
375000,154,103,1979
295000,148,108,1976
365000,357,132,1969
650000,1674,186,1985
375000,133,132,1972
375000,220,121,1980
250000,295,98,1987
975000,990,297,2020
850000,738,210,1989
599000,577,116,1991
375000,167,146,2000
350000,147,123,1987
450000,390,152,1972
575000,119,137,1930
550000,295,110,1990
550000,325,179,2015
685000,1370,155,1976
450000,154,176,1977
287500,238,107,1973
250000,300,102,1963
325000,262,101,1961
350000,231,91,1996
435000,150,128,1967
425000,180,126,1960
725000,143,131,1936
545000,430,129,1998
775000,1176,201,2000
390000,135,127,1982
475000,229,135,1995
399000,175,128,1973
395000,176,115,1982
375000,187,103,1932
279500,103,113,1932
395000,146,106,1997
295000,70,61,1955
219000,129,61,1983
325000,130,122,1973
575000,512,165,2002
325000,69,72,2010
495000,904,165,1978
1150000,160,230,1917
550000,171,126,1982
340000,130,109,2000
395000,281,150,2009
575000,305,140,1964
300000,139,121,1972
319000,226,128,1975
389000,170,128,1986
399500,295,145,1996
385000,126,121,1975
330000,764,159,1975
539000,208,133,1997
575000,263,166,1950
298000,329,120,2006
249000,156,82,1995
369000,181,132,2000
395000,146,106,1992
549000,290,163,1930
549000,6373,263,1923
294000,132,80,1994
695000,234,154,2016
695000,7208,144,1987
259500,125,76,1962
1000000,7852,175,1906
698000,265,152,1983
725000,615,353,1980
350000,100,87,1938
335000,156,104,1987
295000,193,77,1931
279000,161,102,1954
509000,271,123,1986
245000,99,77,1920
850000,109,152,1960
399000,157,128,2006
925000,1156,272,1971
425000,160,121,1972
365000,169,132,1979
269000,270,102,1968
450000,174,121,1994
1295000,1115,205,1995
795000,649,197,1978
385000,312,104,1965
385000,662,79,1871
350000,91,94,2016
300000,116,108,1987
250000,173,85,1982
300000,122,68,1955
300000,156,133,1973
319000,125,112,1920
379000,255,113,1999
1050000,204,231,2019
400000,209,120,2003
1150000,5855,192,2000
545000,257,142,1985
749000,273,143,1930
325000,87,68,1932
495000,137,142,2008
750000,147,222,1922
295000,345,130,1993
359000,201,113,2017
360000,254,80,1948
279500,128,79,1966
415000,164,125,1969
850000,826,172,1980
1198000,95,226,2021
495000,570,110,1966
385000,227,117,
250000,152,103,1997
1100000,584,165,1924
475000,1710,139,1936
350000,195,110,1919
495000,250,195,1936
650000,133,139,2021
575000,190,137,2018
595000,337,173,1993
550000,264,146,1985
435000,105,110,2010
339000,90,78,1930
239500,157,106,1972
625000,370,139,1910
325000,422,117,1966
300000,145,108,1981
150000,185,94,1959
2925000,147,242,1930
539000,96,129,1927
210000,154,83,1958
350000,158,132,1978
195000,250,71,1962
695000,23050,113,1966
925000,412,230,2003
775000,605,231,2009
535000,344,153,1994
349000,291,106,1900
549500,210,210,1850
399500,238,153,1991
945000,1187,262,1977
639000,342,112,1935
525000,547,178,1998
